game_id,home_flag,team_id,abb,wins,loss,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts,ref1,ref2,ref3,net_score,won
0021400249,0,1610612759,SAS,0,17,0.0,25,52,11,14,83,0.434,57,0.474,26,0.346,35,0.8,20,109,2005,2530,2715,6,1
0021400249,1,1610612755,PHI,13,4,0.765,22,42,8,10,89,0.427,60,0.433,29,0.414,25,0.6,29,103,2005,2530,2715,-6,0
0021400250,0,1610612748,MIA,9,8,0.529,12,33,7,11,72,0.458,50,0.619,22,0.091,30,0.6,20,86,1147,1201,202026,-21,0
0021400250,1,1610612764,WAS,11,5,0.688,29,42,7,12,72,0.542,53,0.548,19,0.526,24,0.792,23,107,1147,1201,202026,21,1
0021400251,0,1610612743,DEN,5,13,0.278,23,39,8,10,87,0.471,61,0.524,26,0.346,17,0.706,22,103,1830,1188,200832,2,1
0021400251,1,1610612762,UTA,9,8,0.529,18,48,14,14,84,0.429,66,0.44,18,0.389,30,0.733,15,101,1830,1188,200832,-2,0
0021400252,0,1610612750,MIN,12,5,0.706,26,32,6,10,82,0.427,70,0.472,12,0.167,40,0.725,27,101,1662,201246,201638,-26,0
0021400252,1,1610612746,LAC,4,12,0.25,33,50,9,14,80,0.512,46,0.564,34,0.441,36,0.833,26,127,1662,201246,201638,26,1
0021400253,0,1610612749,MIL,9,7,0.562,31,40,12,13,92,0.489,72,0.528,20,0.35,13,0.846,26,108,1152,101284,203177,-3,0
0021400253,1,1610612739,CLE,10,9,0.526,22,40,7,19,73,0.534,52,0.634,21,0.286,38,0.711,17,111,1152,101284,203177,3,1
0021400254,0,1610612738,BOS,10,6,0.625,33,42,9,21,84,0.488,61,0.475,23,0.522,13,0.846,20,105,1176,2148,202000,-4,0
0021400254,1,1610612737,ATL,4,11,0.267,36,31,4,16,82,0.524,58,0.551,24,0.458,14,0.857,14,109,1176,2148,202000,4,1
0021400255,0,1610612747,LAL,3,15,0.167,25,47,12,14,81,0.481,64,0.453,17,0.588,24,0.75,26,106,2534,202007,203593,10,1
0021400255,1,1610612765,DET,5,13,0.278,20,49,16,14,90,0.367,69,0.392,21,0.286,31,0.774,16,96,2534,202007,203593,-10,0
0021400256,0,1610612751,BKN,4,15,0.211,22,49,21,14,89,0.438,72,0.458,17,0.353,20,0.7,20,98,1151,200834,202037,5,1
0021400256,1,1610612752,NYK,7,9,0.438,22,40,13,14,81,0.432,53,0.453,28,0.393,14,0.857,21,93,1151,200834,202037,-5,0
0021400257,0,1610612742,DAL,11,7,0.611,30,46,12,14,102,0.461,72,0.445,30,0.5,27,0.852,28,132,1146,2715,2532,3,1
0021400257,1,1610612741,CHI,14,5,0.737,38,52,15,18,103,0.456,77,0.506,26,0.308,34,0.794,22,129,1146,2715,2532,-3,0
0021400258,0,1610612760,OKC,8,8,0.5,16,45,9,17,84,0.44,60,0.499,24,0.292,27,0.852,32,104,1199,2882,202049,-8,0
0021400258,1,1610612740,NOP,5,13,0.278,23,49,16,13,88,0.443,71,0.479,17,0.294,45,0.644,21,112,1199,2882,202049,8,1
0021400259,0,1610612757,POR,9,9,0.5,26,37,4,12,86,0.5,64,0.594,22,0.227,17,0.824,19,105,1194,1204,1363,2,1
0021400259,1,1610612743,DEN,14,4,0.778,21,41,7,14,81,0.506,61,0.557,20,0.35,19,0.737,19,103,1194,1204,1363,-2,0
0021400260,0,1610612754,IND,11,8,0.579,20,41,8,19,85,0.482,72,0.513,13,0.308,17,0.765,24,99,1164,1193,202053,-17,0
0021400260,1,1610612756,PHX,7,11,0.389,18,44,9,12,86,0.5,61,0.508,25,0.48,26,0.692,19,116,1164,1193,202053,17,1
0021400261,0,1610612761,TOR,9,9,0.5,22,35,13,13,88,0.5,65,0.523,23,0.435,21,0.905,29,117,1162,1198,200832,8,1
0021400261,1,1610612758,SAC,14,4,0.778,28,34,13,15,75,0.52,65,0.554,10,0.3,37,0.757,23,109,1162,1198,200832,-8,0
0021400262,0,1610612753,ORL,15,2,0.882,19,40,8,11,87,0.448,70,0.471,17,0.353,14,0.929,17,97,1153,101283,202058,-1,0
0021400262,1,1610612744,GSW,7,13,0.35,25,49,13,15,82,0.463,55,0.545,27,0.296,18,0.778,15,98,1153,101283,202058,1,1
0021400263,0,1610612741,CHI,4,15,0.211,27,49,4,11,80,0.463,52,0.481,28,0.429,21,0.762,18,102,1176,2148,201245,7,1
0021400263,1,1610612766,CHA,12,7,0.632,17,42,7,5,90,0.4,75,0.453,15,0.133,23,0.913,21,95,1176,2148,201245,-7,0
0021400264,0,1610612747,LAL,12,5,0.706,16,43,9,13,85,0.388,56,0.375,29,0.414,21,0.81,20,95,1146,2714,203592,-16,0
0021400264,1,1610612764,WAS,5,14,0.263,33,53,12,11,93,0.484,74,0.527,19,0.316,19,0.789,15,111,1146,2714,203592,16,1
0021400265,0,1610612765,DET,5,11,0.312,20,55,16,11,102,0.363,75,0.387,27,0.296,29,0.69,23,102,1147,1664,202037,-7,0
