game_id,home_flag,team_id,abb,wins,loss,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts,ref1,ref2,ref3,net_score,won
0021300248,0,1610612743,DEN,10,6,0.625,29,47,14,15,87,0.506,64,0.532,23,0.435,19,0.737,22,112,1662,200833,201638,14,1
0021300248,1,1610612761,TOR,6,10,0.375,18,42,14,13,87,0.402,65,0.415,22,0.364,26,0.769,20,98,1662,200833,201638,-14,0
0021300249,0,1610612754,IND,16,1,0.941,25,50,17,16,89,0.438,63,0.492,26,0.308,26,0.731,25,105,1164,2529,203593,5,1
0021300249,1,1610612746,LAC,12,6,0.667,19,41,12,11,82,0.439,67,0.478,15,0.267,31,0.774,23,100,1164,2529,203593,-5,0
0021300250,0,1610612755,PHI,6,12,0.333,22,41,6,20,88,0.432,65,0.477,23,0.304,19,0.895,27,100,1176,200834,202000,-15,0
0021300250,1,1610612765,DET,7,10,0.412,26,57,16,23,89,0.461,61,0.509,28,0.357,39,0.59,20,115,1176,200834,202000,15,1
0021300251,0,1610612744,GSW,4,11,0.267,22,32,10,18,82,0.512,57,0.473,25,0.6,22,0.727,25,115,1194,2882,203207,2,1
0021300251,1,1610612758,SAC,10,8,0.556,22,39,11,24,76,0.526,57,0.543,19,0.474,28,0.857,25,113,1194,2882,203207,-2,0
0021300252,0,1610612766,CHA,8,10,0.444,16,39,6,14,76,0.461,61,0.509,15,0.267,28,0.857,20,98,2002,2001,2148,-1,0
0021300252,1,1610612748,MIA,14,3,0.824,19,34,4,14,69,0.522,51,0.55,18,0.444,25,0.76,19,99,2002,2001,2148,1,1
0021300253,0,1610612750,MIN,12,3,0.8,22,46,15,12,89,0.416,60,0.467,29,0.31,26,0.769,14,103,1153,1151,1185,-10,0
0021300253,1,1610612760,OKC,9,10,0.474,26,43,8,15,87,0.563,68,0.588,19,0.474,9,0.667,22,113,1153,1151,1185,10,1
0021300254,0,1610612740,NOP,8,8,0.5,22,32,9,12,77,0.494,56,0.501,21,0.476,23,0.739,19,103,1168,1198,201245,4,1
0021300254,1,1610612752,NYK,3,13,0.188,23,42,13,17,76,0.447,41,0.512,35,0.371,21,0.857,23,99,1168,1198,201245,-4,0
0021300255,0,1610612757,POR,9,9,0.5,28,52,15,12,87,0.437,64,0.454,23,0.391,34,0.853,19,114,1174,2003,201246,6,1
0021300255,1,1610612747,LAL,14,3,0.824,25,41,9,9,87,0.46,59,0.509,28,0.357,23,0.783,21,108,1174,2003,201246,-6,0
0021300256,0,1610612753,ORL,9,9,0.5,14,40,9,16,77,0.39,62,0.436,15,0.2,19,0.895,24,80,1147,2148,201639,-18,0
0021300256,1,1610612764,WAS,6,11,0.353,21,42,7,17,73,0.452,60,0.4,13,0.692,29,0.793,22,98,1147,2148,201639,18,1
0021300257,0,1610612740,NOP,7,9,0.438,25,54,22,11,113,0.442,90,0.433,23,0.478,27,0.741,34,131,2534,2005,200834,3,1
0021300257,1,1610612741,CHI,9,8,0.529,34,55,16,16,101,0.475,78,0.512,23,0.348,34,0.706,23,128,2534,2005,200834,-3,0
0021300258,0,1610612737,ATL,15,3,0.833,22,39,10,10,96,0.438,65,0.478,31,0.355,5,1.0,19,100,1162,1142,202041,-2,0
0021300258,1,1610612759,SAS,9,10,0.474,27,48,9,17,78,0.538,60,0.6,18,0.333,17,0.706,10,102,1162,1142,202041,2,1
0021300259,0,1610612745,HOU,4,15,0.211,18,40,11,8,83,0.482,55,0.564,28,0.321,20,0.7,19,103,1148,1201,101283,-6,0
0021300259,1,1610612762,UTA,13,6,0.684,20,39,8,11,79,0.544,62,0.532,17,0.588,16,0.813,18,109,1148,1201,101283,6,1
0021300260,0,1610612754,IND,15,3,0.833,25,42,9,15,88,0.443,66,0.454,22,0.409,17,0.882,28,102,1152,1204,2714,-4,0
0021300260,1,1610612757,POR,16,2,0.889,17,40,6,14,76,0.474,63,0.492,13,0.385,33,0.879,20,106,1152,1204,2714,4,1
0021300261,0,1610612753,ORL,7,12,0.368,28,34,8,18,94,0.5,68,0.603,26,0.231,32,0.781,27,125,1830,1198,202058,-1,0
0021300261,1,1610612755,PHI,6,12,0.333,20,56,20,23,96,0.479,67,0.522,29,0.379,33,0.697,27,126,1830,1198,202058,1,1
0021300262,0,1610612749,MIL,8,12,0.4,21,33,8,12,78,0.474,60,0.483,18,0.444,21,0.857,17,100,1664,1168,202037,-8,0
0021300262,1,1610612738,BOS,3,14,0.176,20,40,11,12,77,0.494,53,0.51,24,0.458,27,0.778,23,108,1664,1168,202037,8,1
0021300263,0,1610612743,DEN,11,6,0.647,23,56,17,10,85,0.506,67,0.537,18,0.389,28,0.643,23,111,1199,201637,201639,24,1
0021300263,1,1610612751,BKN,5,13,0.278,15,37,11,11,75,0.4,59,0.475,16,0.125,34,0.735,19,87,1199,201637,201639,-24,0
0021300264,0,1610612765,DET,8,10,0.444,21,46,13,18,80,0.512,64,0.53,16,0.438,26,0.692,19,107,1188,1153,2532,10,1
0021300264,1,1610612748,MIA,14,4,0.778,19,34,13,19,82,0.439,54,0.5,28,0.321,23,0.696,18,97,1188,1153,2532,-10,0
0021300265,0,1610612756,PHX,9,9,0.5,22,41,14,14,87,0.425,58,0.517,29,0.241,15,0.667,17,91,2530,2004,1190,-19,0
0021300265,1,1610612763,MEM,9,8,0.529,26,43,12,8,84,0.548,70,0.586,14,0.357,21,0.619,19,110,2530,2004,1190,19,1
0021300266,0,1610612766,CHA,8,11,0.421,11,50,10,10,78,0.385,61,0.443,17,0.176,25,0.76,18,82,1146,201640,202041,-7,0
0021300266,1,1610612742,DAL,11,8,0.579,16,45,7,9,82,0.402,61,0.409,21,0.381,17,0.882,18,89,1146,201640,202041,7,1
0021300267,0,1610612760,OKC,13,3,0.812,21,47,10,15,83,0.434,63,0.461,20,0.35,20,0.9,20,97,1164,101284,202053,2,1
0021300267,1,1610612758,SAC,4,12,0.25,24,41,13,8,89,0.393,60,0.416,29,0.345,19,0.789,18,95,1164,101284,202053,-2,0
0021300268,0,1610612761,TOR,11,8,0.579,17,38,9,18,77,0.519,57,0.561,20,0.4,18,0.833,25,103,1174,2529,201245,-9,0
0021300268,1,1610612744,GSW,6,11,0.353,27,36,9,12,79,0.506,50,0.559,29,0.414,25,0.8,16,112,1174,2529,201245,9,1
0021300269,0,1610612743,DEN,6,12,0.333,27,43,15,11,92,0.391,69,0.434,23,0.261,13,0.769,22,88,1194,2002,2716,-10,0
0021300269,1,1610612739,CLE,11,7,0.611,20,58,20,12,91,0.407,77,0.416,14,0.357,24,0.792,10,98,1194,2002,2716,10,1
0021300270,0,1610612746,LAC,10,10,0.5,22,36,7,12,83,0.47,64,0.547,19,0.211,20,0.75,16,97,1830,2148,2882,-10,0
0021300270,1,1610612737,ATL,12,7,0.632,28,40,8,11,82,0.512,59,0.508,23,0.522,16,0.688,22,107,1830,2148,2882,10,1
0021300271,0,1610612756,PHX,13,7,0.65,17,40,8,18,79,0.456,55,0.455,24,0.458,19,0.737,23,97,1142,1176,2534,9,1
0021300271,1,1610612745,HOU,10,9,0.526,13,54,21,22,88,0.352,57,0.386,31,0.29,19,0.895,20,88,1142,1176,2534,-9,0
0021300272,0,1610612765,DET,9,10,0.474,21,55,21,15,86,0.384,65,0.4,21,0.333,42,0.762,21,105,1185,1195,2003,7,1
0021300272,1,1610612749,MIL,3,15,0.167,25,43,15,17,91,0.396,64,0.423,27,0.333,22,0.773,29,98,1185,1195,2003,-7,0
0021300273,0,1610612742,DAL,12,8,0.6,25,38,8,7,86,0.43,62,0.419,24,0.458,22,0.682,16,100,1151,2001,203592,3,1
0021300273,1,1610612740,NOP,9,9,0.5,21,58,18,16,94,0.404,72,0.43,22,0.318,15,0.933,17,97,1151,2001,203592,-3,0
0021300274,0,1610612754,IND,17,2,0.895,24,41,7,8,84,0.476,68,0.544,16,0.188,15,0.8,17,95,1162,101284,201245,9,1
0021300274,1,1610612762,UTA,4,16,0.2,21,40,11,14,80,0.412,69,0.42,11,0.364,18,0.889,20,86,1162,101284,201245,-9,0
0021300275,0,1610612759,SAS,39,38,0.506,19,37,11,16,81,0.444,64,0.5,17,0.235,25,0.6,22,91,1179,200834,202007,-19,0
0021300275,1,1610612750,MIN,60,18,0.769,23,52,16,15,91,0.462,76,0.487,15,0.333,26,0.808,18,110,1179,200834,202007,19,1
0021300276,0,1610612760,OKC,13,4,0.765,11,43,13,13,89,0.438,78,0.436,11,0.455,24,0.875,23,104,1148,101283,200832,-7,0
0021300276,1,1610612757,POR,16,3,0.842,22,47,16,11,98,0.449,75,0.48,23,0.348,17,0.882,16,111,1148,101283,200832,7,1
0021300277,0,1610612752,NYK,5,14,0.263,24,30,7,12,77,0.571,50,0.559,27,0.593,11,0.818,29,113,1664,1153,2005,30,1
0021300277,1,1610612751,BKN,4,13,0.235,11,35,15,16,73,0.397,57,0.438,16,0.25,31,0.677,25,83,1664,1153,2005,-30,0
0021300278,0,1610612746,LAC,9,9,0.5,22,40,10,15,80,0.475,60,0.45,20,0.55,18,0.778,24,101,1152,1188,201640,20,1
0021300278,1,1610612763,MEM,13,7,0.65,16,38,11,16,77,0.377,64,0.407,13,0.231,26,0.769,19,81,1152,1188,201640,-20,0
0021300279,0,1610612748,MIA,8,9,0.471,16,27,6,9,77,0.416,55,0.473,22,0.273,24,0.708,25,87,2530,1168,201639,-20,0
0021300279,1,1610612741,CHI,14,5,0.737,24,49,13,15,74,0.5,55,0.491,19,0.526,32,0.719,20,107,2530,1168,201639,20,1
0021300280,0,1610612755,PHI,9,11,0.45,21,50,11,15,92,0.402,65,0.477,27,0.222,13,0.615,20,88,1151,1190,2534,-17,0
0021300280,1,1610612766,CHA,7,13,0.35,29,48,12,9,91,0.462,70,0.544,21,0.19,25,0.68,15,105,1151,1190,2534,17,1
0021300281,0,1610612749,MIL,4,15,0.211,24,48,12,15,92,0.457,72,0.501,20,0.3,26,0.731,25,109,1174,1193,202007,4,1
0021300281,1,1610612764,WAS,9,10,0.474,22,46,13,14,83,0.398,56,0.447,27,0.296,41,0.756,26,105,1174,1193,202007,-4,0
0021300282,0,1610612739,CLE,11,10,0.524,19,47,16,11,94,0.404,74,0.446,20,0.25,17,0.471,11,89,1152,2714,202037,-19,0
0021300282,1,1610612737,ATL,6,13,0.316,31,50,14,12,91,0.516,68,0.573,23,0.348,11,0.545,18,108,1152,2714,202037,19,1
0021300283,0,1610612743,DEN,9,12,0.429,11,42,15,14,77,0.442,60,0.467,17,0.353,29,0.828,19,98,1176,2003,202053,-8,0
0021300283,1,1610612738,BOS,11,8,0.579,25,37,10,9,83,0.518,63,0.587,20,0.3,18,0.778,18,106,1176,2003,202053,8,1
0021300284,0,1610612753,ORL,5,13,0.278,19,31,4,12,70,0.429,45,0.445,25,0.4,20,0.65,19,83,1185,1194,200834,-38,0
0021300284,1,1610612752,NYK,6,13,0.316,25,45,10,10,83,0.53,49,0.551,34,0.5,19,0.842,20,121,1185,1194,200834,38,1
0021300285,0,1610612744,GSW,11,9,0.55,10,43,10,22,76,0.355,60,0.416,16,0.125,34,0.794,27,83,1147,2004,201246,-22,0
0021300285,1,1610612745,HOU,14,7,0.667,15,52,14,15,83,0.446,55,0.564,28,0.214,39,0.641,21,105,1147,2004,201246,22,1
0021300286,0,1610612760,OKC,9,10,0.474,20,41,7,14,77,0.506,56,0.571,21,0.333,30,0.8,22,109,1662,2882,201637,14,1
0021300286,1,1610612740,NOP,14,4,0.778,19,49,19,16,88,0.375,72,0.417,16,0.188,34,0.765,21,95,1662,2882,201637,-14,0
