season,team_id,wins,losses,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts
2009-10,1610612737,53,29,0.646,21,41,11,12,82,0.468,65,0.496,17,0.36,23,0.759,19,101
2009-10,1610612738,50,32,0.61,23,38,8,14,76,0.483,59,0.522,17,0.348,25,0.746,22,99
2009-10,1610612739,61,21,0.744,22,42,9,13,77,0.485,58,0.519,19,0.381,26,0.72,19,102
2009-10,1610612740,37,45,0.451,22,40,10,13,83,0.464,64,0.494,19,0.363,20,0.778,19,100
2009-10,1610612741,41,41,0.5,20,44,11,14,83,0.451,70,0.473,13,0.33,23,0.754,20,97
2009-10,1610612742,55,27,0.671,23,41,10,12,82,0.464,64,0.49,18,0.372,22,0.816,19,102
2009-10,1610612743,53,29,0.646,21,41,10,13,81,0.468,63,0.499,18,0.359,30,0.772,22,106
2009-10,1610612744,26,56,0.317,22,38,9,14,86,0.469,66,0.497,20,0.375,25,0.782,23,108
2009-10,1610612745,42,40,0.512,21,42,11,14,84,0.447,62,0.481,22,0.351,24,0.772,20,102
2009-10,1610612746,29,53,0.354,22,41,11,15,80,0.455,63,0.488,17,0.332,22,0.73,19,95
2009-10,1610612747,57,25,0.695,21,44,11,13,83,0.457,64,0.491,19,0.341,24,0.765,19,101
2009-10,1610612748,47,35,0.573,18,41,10,13,79,0.458,62,0.489,17,0.346,23,0.752,20,96
2009-10,1610612749,46,36,0.561,21,43,11,13,85,0.436,63,0.464,22,0.356,20,0.755,22,97
2009-10,1610612750,15,67,0.183,19,42,11,16,84,0.449,70,0.471,14,0.341,23,0.746,20,98
2009-10,1610612751,12,70,0.146,18,39,10,14,79,0.429,65,0.453,14,0.318,24,0.78,20,92
2009-10,1610612752,29,53,0.354,21,40,10,14,83,0.455,57,0.505,26,0.346,21,0.782,20,102
2009-10,1610612753,59,23,0.72,19,43,9,14,78,0.47,51,0.52,27,0.375,26,0.724,19,102
2009-10,1610612754,32,50,0.39,21,41,9,15,83,0.443,60,0.479,23,0.348,24,0.775,22,100
2009-10,1610612755,27,55,0.329,21,41,11,14,81,0.46,65,0.489,16,0.343,22,0.756,20,97
2009-10,1610612756,54,28,0.659,23,43,11,14,82,0.492,61,0.52,21,0.412,25,0.77,20,110
2009-10,1610612757,50,32,0.61,20,40,11,12,78,0.461,62,0.489,16,0.354,24,0.79,20,98
2009-10,1610612758,25,57,0.305,20,42,11,15,84,0.456,68,0.481,16,0.349,24,0.726,22,100
2009-10,1610612759,50,32,0.61,22,42,10,13,81,0.473,63,0.506,18,0.358,24,0.74,20,101
2009-10,1610612760,50,32,0.61,20,43,11,15,80,0.462,65,0.49,15,0.34,27,0.805,21,101
2009-10,1610612761,40,42,0.488,22,40,9,13,80,0.482,63,0.512,17,0.371,25,0.764,22,104
2009-10,1610612762,53,29,0.646,26,42,10,15,80,0.491,66,0.518,14,0.364,27,0.741,22,104
2009-10,1610612763,40,42,0.488,18,43,13,15,83,0.469,71,0.491,12,0.337,26,0.733,20,102
2009-10,1610612764,26,56,0.317,19,41,11,14,81,0.449,67,0.469,14,0.353,23,0.762,21,96
2009-10,1610612765,27,55,0.329,19,40,12,13,80,0.445,66,0.473,14,0.314,24,0.728,22,94
2009-10,1610612766,44,38,0.537,20,40,10,15,76,0.453,60,0.482,16,0.346,26,0.751,19,95
2010-11,1610612737,44,38,0.537,22,39,9,13,78,0.462,61,0.493,17,0.352,21,0.779,19,95
2010-11,1610612738,56,26,0.683,23,38,7,14,75,0.486,62,0.511,13,0.365,23,0.77,20,96
2010-11,1610612739,19,63,0.232,21,40,10,14,81,0.434,63,0.46,18,0.342,25,0.745,20,95
2010-11,1610612740,46,36,0.561,20,40,10,13,78,0.459,63,0.483,15,0.36,23,0.765,21,94
2010-11,1610612741,62,20,0.756,22,44,11,14,80,0.462,63,0.489,17,0.361,24,0.743,20,98
2010-11,1610612742,57,25,0.695,23,41,9,14,78,0.475,57,0.516,21,0.365,22,0.777,19,100
2010-11,1610612743,50,32,0.61,22,42,9,14,80,0.476,60,0.505,20,0.388,29,0.765,21,107
2010-11,1610612744,36,46,0.439,22,40,11,14,85,0.461,64,0.484,21,0.392,20,0.761,22,103
2010-11,1610612745,43,39,0.524,23,42,11,13,85,0.454,63,0.484,22,0.367,25,0.801,20,105
2010-11,1610612746,32,50,0.39,22,42,11,16,80,0.457,62,0.492,18,0.338,26,0.707,21,98
2010-11,1610612747,57,25,0.695,22,44,12,13,82,0.463,64,0.494,18,0.352,24,0.779,19,101
2010-11,1610612748,58,24,0.707,20,42,9,13,76,0.481,58,0.515,18,0.37,27,0.769,20,102
2010-11,1610612749,35,47,0.427,18,40,10,13,79,0.43,62,0.454,17,0.342,22,0.757,20,91
2010-11,1610612750,17,65,0.207,20,44,13,17,85,0.441,66,0.46,19,0.376,24,0.768,22,101
2010-11,1610612751,24,58,0.293,21,40,11,14,81,0.44,65,0.464,16,0.343,22,0.759,22,94
2010-11,1610612752,42,40,0.512,21,40,10,13,83,0.457,58,0.495,25,0.368,25,0.809,21,106
2010-11,1610612753,52,30,0.634,20,43,10,14,78,0.461,53,0.506,25,0.366,25,0.692,20,99
2010-11,1610612754,37,45,0.451,19,43,11,15,82,0.442,62,0.47,20,0.354,24,0.782,21,99
2010-11,1610612755,41,41,0.5,22,41,10,13,82,0.461,67,0.485,15,0.355,22,0.77,19,99
2010-11,1610612756,40,42,0.488,23,40,10,14,83,0.47,61,0.504,22,0.377,23,0.759,20,105
2010-11,1610612757,48,34,0.585,21,39,12,13,80,0.447,62,0.477,18,0.345,22,0.804,19,96
2010-11,1610612758,24,58,0.293,20,43,13,16,85,0.449,70,0.473,15,0.335,24,0.734,22,99
2010-11,1610612759,61,21,0.744,22,41,10,13,80,0.475,59,0.503,21,0.397,24,0.767,19,103
2010-11,1610612760,55,27,0.671,20,42,11,14,80,0.464,63,0.496,17,0.347,29,0.823,22,104
2010-11,1610612761,22,60,0.268,21,40,11,14,82,0.465,69,0.493,13,0.316,24,0.755,22,99
2010-11,1610612762,39,43,0.476,23,39,11,14,80,0.465,65,0.492,15,0.346,25,0.771,22,99
2010-11,1610612763,46,36,0.561,20,41,11,14,82,0.471,71,0.492,11,0.334,24,0.75,20,99
2010-11,1610612764,23,59,0.28,19,41,12,15,84,0.443,70,0.465,14,0.332,24,0.745,22,97
2010-11,1610612765,30,52,0.366,21,38,11,13,81,0.46,66,0.479,15,0.376,22,0.737,19,97
2010-11,1610612766,34,48,0.415,21,40,10,14,77,0.451,63,0.479,14,0.327,24,0.756,20,93
2011-12,1610612737,40,26,0.606,22,41,9,14,81,0.454,61,0.482,20,0.37,21,0.74,17,96
2011-12,1610612738,39,27,0.591,23,38,7,14,77,0.46,62,0.483,15,0.367,19,0.778,19,91
2011-12,1610612739,21,45,0.318,19,42,12,15,81,0.422,62,0.445,19,0.346,24,0.716,20,93
2011-12,1610612740,21,45,0.318,20,41,11,15,77,0.451,66,0.471,11,0.333,21,0.757,20,89
2011-12,1610612741,50,16,0.758,23,46,13,14,82,0.452,66,0.471,16,0.375,21,0.722,17,96
2011-12,1610612742,36,30,0.545,20,42,10,14,82,0.443,60,0.481,22,0.339,20,0.771,18,95
2011-12,1610612743,38,28,0.576,24,43,11,15,81,0.476,62,0.52,19,0.332,26,0.735,19,104
