game_id,home_flag,team_id,abb,wins,loss,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts,ref1,ref2,ref3,net_score,won
0021700318,0,1610612744,GSW,9,14,0.391,46,42,7,19,88,0.625,64,0.672,24,0.5,11,1.0,16,133,1162,2715,200832,21,1
0021700318,1,1610612753,ORL,17,6,0.739,23,35,13,14,96,0.458,68,0.485,28,0.393,18,0.722,15,112,1162,2715,200832,-21,0
0021700319,0,1610612754,IND,14,7,0.667,21,46,15,10,102,0.441,76,0.487,26,0.308,22,0.773,17,115,1146,2005,204058,-5,0
0021700319,1,1610612761,TOR,12,11,0.522,29,47,12,12,97,0.495,65,0.585,32,0.313,21,0.667,18,120,1146,2005,204058,5,1
0021700320,0,1610612765,DET,14,7,0.667,20,32,4,15,79,0.443,49,0.531,30,0.3,19,0.632,21,91,1179,2148,200834,-18,0
0021700320,1,1610612764,WAS,12,10,0.545,28,49,16,11,89,0.483,68,0.529,21,0.333,19,0.842,20,109,1179,2148,200834,18,1
0021700321,0,1610612766,CHA,8,13,0.381,21,40,10,22,79,0.481,59,0.559,20,0.25,21,0.905,24,100,1174,1188,1193,-5,0
0021700321,1,1610612748,MIA,11,11,0.5,25,39,9,21,80,0.487,45,0.555,35,0.4,21,0.619,24,105,1174,1188,1193,5,1
0021700322,0,1610612758,SAC,3,18,0.143,29,43,8,12,85,0.529,67,0.582,18,0.333,14,0.786,15,107,1194,201638,202041,1,1
0021700322,1,1610612741,CHI,7,15,0.318,30,38,8,8,90,0.467,54,0.538,36,0.361,13,0.692,16,106,1194,201638,202041,-1,0
0021700323,0,1610612759,SAS,7,14,0.333,20,43,7,13,70,0.443,43,0.466,27,0.407,32,0.688,18,95,1198,2003,2882,16,1
0021700323,1,1610612763,MEM,15,7,0.682,19,38,8,16,74,0.405,59,0.423,15,0.333,18,0.778,26,79,1198,2003,2882,-16,0
0021700324,0,1610612750,MIN,9,12,0.429,26,26,6,16,76,0.513,52,0.519,24,0.5,21,0.81,20,107,2004,101284,202035,-4,0
0021700324,1,1610612760,OKC,13,10,0.565,28,42,13,18,79,0.519,53,0.623,26,0.308,22,0.955,24,111,2004,101284,202035,4,1
0021700325,0,1610612740,NOP,11,11,0.5,28,42,6,10,87,0.483,57,0.474,30,0.5,15,0.6,20,108,1176,1204,201245,-6,0
0021700325,1,1610612762,UTA,12,11,0.522,25,46,8,7,85,0.494,55,0.545,30,0.4,25,0.72,15,114,1176,1204,201245,6,1
0021700326,0,1610612756,PHX,20,4,0.833,24,47,16,10,101,0.475,77,0.532,24,0.292,11,0.727,19,111,1155,1662,2002,-5,0
0021700326,1,1610612738,BOS,8,16,0.333,32,31,4,9,80,0.525,49,0.571,31,0.452,23,0.783,16,116,1155,1662,2002,5,1
0021700327,0,1610612746,LAC,6,17,0.261,16,38,11,10,86,0.349,64,0.375,22,0.273,23,0.696,20,82,2529,201640,1626302,-26,0
0021700327,1,1610612742,DAL,8,13,0.381,24,54,15,15,79,0.456,44,0.455,35,0.457,26,0.769,20,108,2529,201640,1626302,26,1
0021700328,0,1610612737,ATL,5,17,0.227,18,47,13,8,99,0.475,72,0.514,27,0.37,14,0.714,19,114,1148,2714,1627962,12,1
0021700328,1,1610612751,BKN,8,14,0.364,26,46,12,19,82,0.415,40,0.425,42,0.405,21,0.81,18,102,1148,2714,1627962,-12,0
0021700329,0,1610612763,MEM,16,7,0.696,31,36,6,12,84,0.512,61,0.492,23,0.565,14,0.857,19,111,1195,201246,204058,-5,0
